id,state,date,mean,ML,Low_90,High_90,Low_50,High_50,sd,pendiente,sma_7,sma_14
3876,SONORA,22/03/2020,1.257892408,1.226574399,0.948944317,1.619212144,1.045057072,1.279208307,0.234151235,1.254273417,0,1.250566504
3877,SONORA,23/03/2020,1.257116329,1.221907507,0.939290264,1.604493935,1.055601457,1.287226653,0.231625196,1.254790416,0.000516999,1.251089783
3878,SONORA,24/03/2020,1.2546006,1.22044201,0.97852719,1.639388014,1.056195569,1.281832573,0.225637004,1.255196546,0.00040613,1.251557627
3879,SONORA,25/03/2020,1.255564943,1.21822585,0.932374291,1.589625532,1.04519512,1.278860428,0.233665308,1.255243286,4.67E-05,1.251845777
3880,SONORA,26/03/2020,1.253176415,1.219707785,0.922418098,1.574425823,1.023465051,1.260143302,0.23667825,1.25542779,0.000184504,1.252202809
3881,SONORA,27/03/2020,1.250483793,1.217307094,0.971862074,1.603494233,1.067248134,1.295627903,0.228379769,1.255271075,-0.000156715,1.252389231
3882,SONORA,28/03/2020,1.251079429,1.220330162,0.958411378,1.576848046,1.068614154,1.299206346,0.230592192,1.254729701,-0.000541375,1.252383323
3883,SONORA,29/03/2020,1.250636222,1.21856053,0.965034278,1.59254892,1.032265411,1.268440429,0.236175018,1.254273417,-0.000456284,1.25241996
3884,SONORA,30/03/2020,1.249942131,1.218372621,0.93075288,1.551612029,1.050961211,1.275690376,0.224729165,1.253236819,-0.001036598,1.25242494
3885,SONORA,31/03/2020,1.246884521,1.215146998,0.936202708,1.552129452,1.0586428,1.279613135,0.220970335,1.252211933,-0.001024885,1.252380342
3886,SONORA,01/04/2020,1.247214208,1.215854356,0.905620268,1.533866665,1.048175979,1.265711725,0.217535747,1.251109636,-0.001102297,1.252117343
3887,SONORA,02/04/2020,1.245871851,1.215345891,0.930532403,1.549963715,1.05893121,1.273362394,0.214431184,1.249916674,-0.001192962,1.251877894
3888,SONORA,03/04/2020,1.243692217,1.211781407,0.945581816,1.553220105,1.089161187,1.299050114,0.209888927,1.248873165,-0.001043509,1.251542561
3889,SONORA,04/04/2020,1.243775987,1.213513082,0.968689444,1.568000537,1.043270292,1.258535142,0.21526485,1.24790294,-0.000970225,1.251051541
3890,SONORA,05/04/2020,1.242018791,1.212748725,0.954231213,1.550290989,1.045851978,1.264367732,0.218515754,1.246859591,-0.001043349,1.250566504
3891,SONORA,06/04/2020,1.239757252,1.209949137,0.953661824,1.553803537,1.053771152,1.261267063,0.207495912,1.245628529,-0.001231062,1.249432674
3892,SONORA,07/04/2020,1.239816597,1.210912075,0.933052098,1.52781877,1.054924258,1.27009108,0.215166822,1.244173547,-0.001454983,1.24819274
3893,SONORA,08/04/2020,1.23838081,1.207181628,0.939828572,1.518061791,1.051288997,1.261765892,0.210476896,1.243163843,-0.001009703,1.24713674
3894,SONORA,09/04/2020,1.238210128,1.205871224,0.942920249,1.517261945,1.051078667,1.258722248,0.207643581,1.241901929,-0.001261914,1.245909302
3895,SONORA,10/04/2020,1.237660958,1.199713027,0.982139852,1.563070385,1.041436794,1.250626642,0.209189848,1.240807397,-0.001094532,1.244840281
3896,SONORA,11/04/2020,1.239809541,1.201934477,0.986076347,1.553697259,1.038104045,1.244990854,0.206886809,1.239945789,-0.000861609,1.243924364
3897,SONORA,12/04/2020,1.240144879,1.203898741,0.937749519,1.531136922,1.053477426,1.265641995,0.212164569,1.239379154,-0.000566635,1.243119372
3898,SONORA,13/04/2020,1.243575629,1.20590158,0.962257405,1.55050709,1.049474609,1.261497504,0.212022895,1.239111452,-0.000267702,1.242369991
3899,SONORA,14/04/2020,1.244857905,1.211716826,0.949627827,1.529902241,1.054539493,1.263312465,0.208772972,1.239656934,0.000545482,1.241915241
3900,SONORA,15/04/2020,1.243501565,1.210154044,0.954458921,1.523410013,1.082263373,1.285384833,0.203121461,1.240377121,0.000720187,1.241770482
3901,SONORA,16/04/2020,1.243319775,1.210287229,0.948472198,1.519765051,1.072408719,1.274787473,0.202378755,1.241108658,0.000731537,1.241505294
3902,SONORA,17/04/2020,1.24249263,1.208208298,0.951642175,1.512140276,1.072089157,1.26331723,0.191228073,1.241838608,0.00072995,1.241323002
3903,SONORA,18/04/2020,1.240102051,1.208554527,0.986659118,1.524493882,1.057182929,1.251179242,0.193996313,1.242528846,0.000690239,1.241237318
3904,SONORA,19/04/2020,1.241909641,1.214065,0.944590791,1.493739313,1.083102651,1.273041149,0.189938498,1.242570634,4.18E-05,1.240974894
3905,SONORA,20/04/2020,1.243248005,1.21010363,0.952971875,1.495464637,1.088279925,1.277658683,0.189378758,1.242822742,0.000252109,1.240967097
3906,SONORA,21/04/2020,1.244405276,1.210925728,0.995302457,1.541097131,1.093180606,1.281995336,0.18881473,1.242775939,-4.68E-05,1.241216437
3907,SONORA,22/04/2020,1.244267128,1.21161468,0.973588056,1.496480017,1.099473724,1.280169665,0.180695941,1.242711278,-6.47E-05,1.241544199
3908,SONORA,23/04/2020,1.243951301,1.209992974,0.999141528,1.503631962,1.088614986,1.27139809,0.182783105,1.242820644,0.000109366,1.241964651
3909,SONORA,24/04/2020,1.244349962,1.209095222,1.010484321,1.519515176,1.086700479,1.26521753,0.178517051,1.242910862,9.02E-05,1.242374735
3910,SONORA,25/04/2020,1.242238013,1.205566753,1.009208779,1.485902193,1.089803952,1.266751019,0.176947068,1.243176195,0.000265333,1.242852521
3911,SONORA,26/04/2020,1.240267055,1.204014115,1.002509115,1.488625966,1.090839201,1.272105182,0.181265981,1.243481332,0.000305137,1.243025983
3912,SONORA,27/04/2020,1.239817405,1.204212219,1.009573577,1.50219247,1.064578744,1.240768788,0.176190044,1.243246677,-0.000234655,1.24303471
3913,SONORA,28/04/2020,1.236256911,1.203764481,1.012654177,1.466136553,1.065672532,1.239191276,0.173518744,1.242756592,-0.000490086,1.242766265
3914,SONORA,29/04/2020,1.233081635,1.201678876,1.030956285,1.473097215,1.084515436,1.250017144,0.165501708,1.241592539,-0.001164052,1.242151909
3915,SONORA,30/04/2020,1.227796689,1.196634349,1.009860193,1.464754658,1.085524647,1.24884216,0.163317513,1.239994612,-0.001597928,1.241407628
3916,SONORA,01/05/2020,1.222804567,1.187655808,1.014672254,1.466540414,1.087141902,1.247178894,0.160036991,1.23768681,-0.002307802,1.240298836
3917,SONORA,02/05/2020,1.216344562,1.183766899,1.006933839,1.457233338,1.101190228,1.25683462,0.155644392,1.234608896,-0.003077914,1.238892546
3918,SONORA,03/05/2020,1.212863455,1.180995687,0.994564742,1.440863302,1.078597299,1.228377688,0.149780389,1.230909832,-0.003699064,1.237195582
3919,SONORA,04/05/2020,1.211997156,1.182525655,1.010601393,1.44837708,1.095742843,1.245345517,0.149602674,1.226995032,-0.0039148,1.235120855
3920,SONORA,05/05/2020,1.206345057,1.178267646,1.016598443,1.458291674,1.07752693,1.228723478,0.151196548,1.223020711,-0.003974321,1.232888651
3921,SONORA,06/05/2020,1.202940391,1.177089624,1.000597434,1.418191556,1.088041075,1.232988888,0.144947813,1.218747589,-0.004273122,1.230170064
3922,SONORA,07/05/2020,1.198321427,1.17034104,0.996783927,1.412840269,1.084172279,1.228138052,0.143965773,1.214441697,-0.004305892,1.227218154
3923,SONORA,08/05/2020,1.195987616,1.169875335,0.996119678,1.407541818,1.092236132,1.236079415,0.143843282,1.210230945,-0.004210752,1.223958878
3924,SONORA,09/05/2020,1.19353343,1.16807779,1.001422555,1.39789569,1.081738889,1.225264727,0.143525838,1.206399952,-0.003830993,1.220504424
3925,SONORA,10/05/2020,1.191900684,1.167770939,1.012208398,1.409548554,1.068333254,1.20861852,0.140285266,1.203141219,-0.003258733,1.217025525
3926,SONORA,11/05/2020,1.190097369,1.164923611,1.00615075,1.40277177,1.059628727,1.197812771,0.138184043,1.200146537,-0.002994682,1.213570785
3927,SONORA,12/05/2020,1.185587783,1.159686538,1.005328195,1.409617643,1.067957995,1.20155071,0.133592715,1.197017996,-0.003128541,1.210019353
3928,SONORA,13/05/2020,1.181761871,1.159424311,0.998481231,1.380446152,1.073542739,1.208757383,0.135214644,1.194052671,-0.002965325,1.20640013
3929,SONORA,14/05/2020,1.178217182,1.154879081,1.005586097,1.379293409,1.073883173,1.205370603,0.13148743,1.191027168,-0.003025503,1.202734433
3930,SONORA,15/05/2020,1.174631272,1.150657463,1.006608739,1.378720371,1.075650879,1.21077433,0.135123451,1.188155133,-0.002872035,1.199193039
3931,SONORA,16/05/2020,1.170090026,1.152361375,1.00481163,1.386852502,1.052957926,1.192404851,0.139446925,1.185104227,-0.003050906,1.19575209
