id,X,state,date,mean,ML,Low_90,High_90,Low_50,High_50,sd,pendiente,sma_7,sma_14
1,248527,26001,28/03/2020,1.240879975,1.193728284,0.743316586,1.715287822,0.996859823,1.322319516,0.325459693,0,1.239843619,1.238563546
2,248528,26001,29/03/2020,1.241959091,1.189315697,0.68885966,1.718712705,1.016452773,1.340372573,0.3239198,0.000148051,1.23999167,1.238729005
3,248529,26001,30/03/2020,1.241686344,1.187878867,0.753115753,1.77895026,0.982965094,1.312231659,0.329266564,0.00030221,1.24029388,1.238971544
4,248530,26001,31/03/2020,1.239346912,1.184342427,0.768152091,1.802894766,0.980346613,1.311353529,0.331006916,0.000263246,1.240557127,1.239194601
5,248531,26001,01/04/2020,1.237899127,1.180690173,0.746246249,1.771872869,0.976877487,1.310046866,0.333169379,-7.10E-05,1.240486169,1.239250556
6,248532,26001,02/04/2020,1.238333677,1.185310128,0.771931298,1.830186385,0.972399024,1.300980527,0.328581503,-0.000277785,1.240208384,1.239203097
7,248533,26001,03/04/2020,1.23880021,1.18448512,0.709209061,1.78871113,0.997368672,1.331321375,0.333952703,-0.000215706,1.239992678,1.239186678
8,248534,26001,04/04/2020,1.238622504,1.184004032,0.645490537,1.74923682,1.004600469,1.341511262,0.336910793,-0.000149058,1.239843619,1.239203583
9,248535,26001,05/04/2020,1.239154424,1.183360056,0.716073699,1.835658235,1.007512048,1.358439616,0.350927568,-0.000322496,1.239521124,1.239207794
10,248536,26001,06/04/2020,1.237341418,1.184676622,0.735118583,1.883005327,1.008649659,1.361068626,0.352418966,-0.000400667,1.239120457,1.239249999
11,248537,26001,07/04/2020,1.237261345,1.180654347,0.722378916,1.862929589,0.940909894,1.296557636,0.355647742,-0.000620704,1.238499753,1.239162705
12,248538,26001,08/04/2020,1.235531027,1.182982363,0.65007498,1.760298356,0.98965889,1.343502586,0.353843696,-0.000297938,1.238201815,1.23906969
13,248539,26001,09/04/2020,1.238258739,1.184823336,0.716392107,1.819845111,0.996165596,1.349331713,0.353166117,-0.0003383,1.237863515,1.238853082
14,248540,26001,10/04/2020,1.234814846,1.180310706,0.649342125,1.794936173,0.962161801,1.314140514,0.351978713,-1.07E-05,1.23785281,1.23883131
15,248541,26001,11/04/2020,1.232806128,1.182492978,0.64978013,1.788770787,0.93771184,1.293999248,0.356287408,-0.000569338,1.237283472,1.238563546
16,248542,26001,12/04/2020,1.229279772,1.178694533,0.768732793,1.91326106,0.937528678,1.285219009,0.347690332,-0.000830911,1.236452561,1.237986842
17,248543,26001,13/04/2020,1.225467663,1.180624105,0.642861107,1.761058887,0.939462212,1.292599475,0.353137262,-0.001410665,1.235041896,1.237081177
18,248544,26001,14/04/2020,1.22586988,1.181779723,0.701431921,1.787404409,0.945730139,1.303583883,0.357853744,-0.001696251,1.233345646,1.235922699
19,248545,26001,15/04/2020,1.225086387,1.178452469,0.666819672,1.786112574,0.952463313,1.313693563,0.361230249,-0.001627352,1.231718294,1.234960054
20,248546,26001,16/04/2020,1.225237903,1.174335431,0.664646944,1.784719838,0.948095169,1.306972363,0.358877194,-0.001492091,1.230226202,1.234044859
21,248547,26001,17/04/2020,1.222289928,1.171638788,0.667250814,1.816445474,0.96525794,1.315879383,0.350621443,-0.00186012,1.228366083,1.233109446
22,248548,26001,18/04/2020,1.218804697,1.1725807,0.619446011,1.75374299,0.987892018,1.33401799,0.346125972,-0.001789274,1.226576809,1.23193014
23,248549,26001,19/04/2020,1.216207864,1.173004502,0.69004373,1.816208645,0.947749282,1.28422109,0.336471809,-0.002000204,1.224576604,1.230514583
24,248550,26001,20/04/2020,1.215894376,1.170714323,0.645318772,1.769852438,0.944400364,1.284725373,0.340325009,-0.001867415,1.222709189,1.228875543
25,248551,26001,21/04/2020,1.212480748,1.171211892,0.65250505,1.770680824,1.012957697,1.347919088,0.334961391,-0.001367612,1.221341577,1.227343611
26,248552,26001,22/04/2020,1.209697195,1.163195585,0.65857527,1.799335157,1.00442356,1.347225242,0.342801683,-0.001912733,1.219428843,1.225573569
27,248553,26001,23/04/2020,1.205841243,1.16355049,0.637362582,1.777959936,0.981008377,1.329651616,0.348643239,-0.002198456,1.217230387,1.223728295
28,248554,26001,24/04/2020,1.205591095,1.164332541,0.596342276,1.728578598,0.931119825,1.274815415,0.343695589,-0.002770951,1.214459436,1.221412759
29,248555,26001,25/04/2020,1.205550372,1.1624471,0.589499944,1.721403686,0.934735278,1.27692158,0.342186302,-0.002385548,1.212073888,1.219325349
30,248556,26001,26/04/2020,1.203855251,1.164622616,0.653417369,1.743691457,0.944906375,1.278319602,0.333413226,-0.001893475,1.210180413,1.217378509
31,248557,26001,27/04/2020,1.20374109,1.164008984,0.640495142,1.749609844,0.939835549,1.272762543,0.332926994,-0.001764659,1.208415754,1.215562472
32,248558,26001,28/04/2020,1.202329575,1.164291978,0.578754711,1.717610937,0.934247133,1.270448557,0.336201425,-0.001736184,1.206679571,1.214010574
33,248559,26001,29/04/2020,1.201254238,1.166108789,0.651313685,1.763520292,0.913943726,1.253823561,0.339879835,-0.001450168,1.205229403,1.212329123
34,248560,26001,30/04/2020,1.201100969,1.156551964,0.579764782,1.73494,0.928423105,1.264537321,0.336114215,-0.001206137,1.204023266,1.210626827
35,248561,26001,01/05/2020,1.196651645,1.157587214,0.592487702,1.744822164,0.925126958,1.264419068,0.33929211,-0.000677182,1.203346084,1.20890276
36,248562,26001,02/05/2020,1.194252864,1.160210896,0.573581879,1.752544234,0.920195134,1.260453892,0.340258758,-0.001277064,1.20206902,1.207071454
37,248563,26001,03/05/2020,1.191188816,1.154685374,0.591466593,1.746018349,0.921256943,1.258422815,0.337165872,-0.00161393,1.20045509,1.205317752
38,248564,26001,04/05/2020,1.189954404,1.154974459,0.639546353,1.815785233,0.931126176,1.265429125,0.334302949,-0.001809491,1.1986456,1.203530677
39,248565,26001,05/05/2020,1.188483915,1.152918483,0.589648218,1.740172276,0.952492165,1.28952792,0.337035756,-0.001969526,1.196676073,1.201677822
40,248566,26001,06/05/2020,1.187216687,1.149537724,0.609285934,1.728959298,0.93390604,1.271537146,0.337631106,-0.001977951,1.194698122,1.199963762
41,248567,26001,07/05/2020,1.188738109,1.147139635,0.600278724,1.740454081,0.924629247,1.257885246,0.333255999,-0.002005364,1.192692757,1.198358012
42,248568,26001,08/05/2020,1.187797268,1.153366218,0.675633809,1.826850076,0.939364185,1.271371605,0.33200742,-0.001766123,1.190926634,1.197136359
43,248569,26001,09/05/2020,1.188891332,1.145209189,0.672468279,1.837724899,0.934638061,1.265142884,0.330504824,-0.001264911,1.189661723,1.195865372
44,248570,26001,10/05/2020,1.184200566,1.145528487,0.730930689,1.88606672,0.969918231,1.303148966,0.333230735,-0.000765933,1.18889579,1.19467544
45,248571,26001,11/05/2020,1.182371538,1.140057395,0.68537321,1.847979145,0.988284513,1.322757159,0.334472646,-0.000998321,1.187897469,1.193271534
46,248572,26001,12/05/2020,1.180474982,1.143649738,0.666956878,1.830330213,0.993764698,1.332747377,0.338982679,-0.001083267,1.186814202,1.191745138
47,248573,26001,13/05/2020,1.177655467,1.142591232,0.609735395,1.770105186,0.946861229,1.277690359,0.33082913,-0.001144133,1.185670069,1.190184095
48,248574,26001,14/05/2020,1.17517338,1.144764574,0.609949623,1.732251238,0.991166758,1.328564643,0.337397885,-0.001365889,1.18430418,1.188498469
49,248575,26001,15/05/2020,1.17518185,1.141836718,0.672048499,1.787397478,0.984899592,1.320709809,0.335810218,-0.001937818,1.182366362,1.186646498
50,248576,26001,16/05/2020,1.172508157,1.135621857,0.709521678,1.789185171,1.003933253,1.332078245,0.328144992,-0.001802203,1.180564159,1.185112941
51,248577,26001,17/05/2020,1.172680805,1.132388827,0.679101628,1.740355479,0.994053006,1.320916966,0.32686396,-0.002340454,1.178223706,1.183559748
52,248578,26001,18/05/2020,1.170964482,1.134967508,0.656071705,1.726017237,0.962385199,1.288525411,0.326140213,-0.00164568,1.176578025,1.182237747
53,248579,26001,19/05/2020,1.169622608,1.135705316,0.638901365,1.713729589,0.971177535,1.292415646,0.321238111,-0.001629579,1.174948446,1.180881324
54,248580,26001,20/05/2020,1.165778642,1.13026117,0.702533264,1.76982959,0.970075685,1.294511319,0.324435635,-0.001550339,1.173398107,1.179534088
55,248581,26001,21/05/2020,1.165436131,1.130933807,0.656332424,1.705244151,0.937086068,1.259484222,0.322398154,-0.001696689,1.171701418,1.178002799
56,248582,26001,22/05/2020,1.161192488,1.128713331,0.647298848,1.704806732,0.965929658,1.286298188,0.32036853,-0.001391036,1.170310382,1.176338372
57,248583,26001,23/05/2020,1.159932529,1.127413681,0.759630484,1.811474032,0.954316224,1.270864625,0.316548401,-0.00199848,1.168311902,1.174438031
58,248584,26001,24/05/2020,1.157949104,1.127759539,0.747297019,1.805090422,0.938141241,1.25973287,0.321591629,-0.001796518,1.166515384,1.172369545
59,248585,26001,25/05/2020,1.154583599,1.129592689,0.730664906,1.761792573,1.001576606,1.320274893,0.318698288,-0.002104529,1.164410855,1.17049444
60,248586,26001,26/05/2020,1.153600875,1.133956492,0.668769379,1.675970704,0.958270062,1.270228228,0.311958166,-0.002340126,1.162070729,1.168509587
61,248587,26001,27/05/2020,1.154088726,1.134619014,0.630751451,1.650927411,0.959790162,1.272429131,0.312638969,-0.002288819,1.15978191,1.166590008
62,248588,26001,28/05/2020,1.15536741,1.132938277,0.640499075,1.686293769,0.944889929,1.259965904,0.315075975,-0.001669988,1.158111922,1.16490667
63,248589,26001,29/05/2020,1.153979416,1.129529311,0.658190231,1.691988596,0.923127779,1.23606467,0.312936891,-0.001438389,1.156673533,1.163491958
64,248590,26001,30/05/2020,1.149945854,1.124502454,0.664045845,1.669783118,0.969619764,1.276300966,0.306681202,-0.001030439,1.155643094,1.161977498
65,248591,26001,31/05/2020,1.148685679,1.129015437,0.665506393,1.668557092,0.935714031,1.241338247,0.305624217,-0.001426668,1.154216426,1.160365905
