id,state,date,mean,ML,Low_90,High_90,Low_50,High_50,sd,pendiente,sma_7,sma_14
1,AGUASCALIENTES,25/03/2020,1.114043405,1.078482371,0.886904942,1.360192038,0.986872577,1.113366353,0.126493776,1.111437039,0,1.109413324
2,AGUASCALIENTES,26/03/2020,1.112540541,1.078869761,0.901015429,1.359257538,0.987989679,1.112195106,0.124205427,1.111809377,0.000372338,1.109744044
3,AGUASCALIENTES,27/03/2020,1.112308699,1.07888883,0.90687272,1.371382793,1.004625835,1.129477626,0.124851791,1.11196702,0.000157643,1.109967416
4,AGUASCALIENTES,28/03/2020,1.111638131,1.076611473,0.878168659,1.343494176,0.98884547,1.116391592,0.127546122,1.112091543,0.000124523,1.110174229
5,AGUASCALIENTES,29/03/2020,1.110996399,1.079282608,0.880557858,1.343862094,0.993000917,1.119660706,0.126659789,1.112120271,2.87E-05,1.110333144
6,AGUASCALIENTES,30/03/2020,1.109414676,1.076997157,0.886213501,1.344730927,1.001227443,1.125287419,0.124059975,1.112057322,-6.29E-05,1.110446221
7,AGUASCALIENTES,31/03/2020,1.109117423,1.077924339,0.895496626,1.336214674,1.001855698,1.123456933,0.121601235,1.111768413,-0.000288909,1.110446317
8,AGUASCALIENTES,01/04/2020,1.108954269,1.076040233,0.900986172,1.351578156,1.006360699,1.12687899,0.120518291,1.111437039,-0.000331374,1.110425181
9,AGUASCALIENTES,02/04/2020,1.108996506,1.075840604,0.881669602,1.324573236,1.004917626,1.125656132,0.120738506,1.11071002,-0.00072702,1.110392392
10,AGUASCALIENTES,03/04/2020,1.107059286,1.075578335,0.924528827,1.367728424,0.999311313,1.119956581,0.120645268,1.110203729,-0.000506291,1.110362619
11,AGUASCALIENTES,04/04/2020,1.107305131,1.076860271,0.893115015,1.32495582,1.003078576,1.122580364,0.119501789,1.109453813,-0.000749916,1.110194474
12,AGUASCALIENTES,05/04/2020,1.107483701,1.078723534,0.889414618,1.310228542,1.003489137,1.123816605,0.120327468,1.108834813,-0.000619,1.110043888
13,AGUASCALIENTES,06/04/2020,1.105879511,1.078249819,0.919286834,1.34323304,0.994190618,1.116161258,0.12197064,1.108332999,-0.000501814,1.109906058
14,AGUASCALIENTES,07/04/2020,1.106048853,1.076674146,0.886052467,1.299449726,1.005563446,1.124352595,0.118789149,1.107827975,-0.000505024,1.109653643
15,AGUASCALIENTES,08/04/2020,1.106449561,1.076066319,0.892976054,1.307594377,0.995281408,1.116384527,0.121103119,1.107389608,-0.000438367,1.109413324
16,AGUASCALIENTES,09/04/2020,1.105770366,1.077135757,0.91263785,1.313557983,1.006137969,1.125688664,0.119550695,1.107031793,-0.000357815,1.108870906
17,AGUASCALIENTES,10/04/2020,1.107293192,1.079446559,0.902740316,1.319732871,1.012020145,1.133480181,0.121460036,1.106570915,-0.000460877,1.108387322
18,AGUASCALIENTES,11/04/2020,1.107570732,1.082648048,0.917835085,1.335104997,1.01391502,1.132901834,0.118986814,1.106604331,3.34E-05,1.108029072
19,AGUASCALIENTES,12/04/2020,1.10898445,1.081193465,0.909834765,1.324864473,1.003508073,1.12336684,0.119858768,1.106642274,3.79E-05,1.107738543
20,AGUASCALIENTES,13/04/2020,1.108569058,1.081572317,0.900435726,1.31758986,1.00220559,1.120181814,0.117976224,1.106856666,0.000214393,1.107594833
21,AGUASCALIENTES,14/04/2020,1.106469551,1.07861403,0.907690009,1.317171486,1.004513828,1.123879325,0.119365496,1.107240887,0.000384221,1.107534431
22,AGUASCALIENTES,15/04/2020,1.105169144,1.077820837,0.930126038,1.322910336,0.996741783,1.116186852,0.119445069,1.107300987,6.01E-05,1.107345298
23,AGUASCALIENTES,16/04/2020,1.105115988,1.077455487,0.925719695,1.316255696,1.007013162,1.126635991,0.11962283,1.10711807,-0.000182917,1.107074932
24,AGUASCALIENTES,17/04/2020,1.104542986,1.074799992,0.935032187,1.319500914,0.982778793,1.102766359,0.119987566,1.107024588,-9.35E-05,1.106797752
25,AGUASCALIENTES,18/04/2020,1.104988841,1.074064668,0.92116969,1.298819579,0.997928669,1.115766754,0.117838085,1.106631701,-0.000392887,1.106618016
26,AGUASCALIENTES,19/04/2020,1.103748958,1.07340511,0.93511512,1.311753467,1.00476052,1.123691266,0.118930746,1.10626286,-0.000368842,1.106452567
27,AGUASCALIENTES,20/04/2020,1.103100633,1.072943779,0.929418999,1.301549545,1.001821787,1.116581709,0.114759922,1.105514932,-0.000747927,1.106185799
28,AGUASCALIENTES,21/04/2020,1.101916274,1.073559785,0.927513171,1.299545525,1.002327135,1.115723251,0.113396116,1.104733729,-0.000781204,1.105987308
29,AGUASCALIENTES,22/04/2020,1.099935881,1.073968431,0.942633115,1.315327725,0.996971381,1.108525519,0.111554138,1.104083261,-0.000650468,1.105692124
30,AGUASCALIENTES,23/04/2020,1.098760797,1.070982955,0.932654374,1.300808424,1.002270816,1.111152328,0.108881512,1.103335652,-0.000747609,1.105226861
31,AGUASCALIENTES,24/04/2020,1.098469366,1.071636413,0.926902723,1.281935189,0.996087055,1.101732931,0.105645876,1.102427767,-0.000907884,1.104726178
32,AGUASCALIENTES,25/04/2020,1.098396443,1.073316847,0.924155075,1.281914402,0.999759094,1.107489474,0.10773038,1.101560107,-0.00086766,1.104095904
33,AGUASCALIENTES,26/04/2020,1.098770844,1.073721478,0.91462832,1.275444883,1.010127373,1.121337901,0.111210528,1.100618336,-0.000941771,1.103440598
34,AGUASCALIENTES,27/04/2020,1.097581795,1.072296177,0.919211301,1.271985739,1.013707359,1.127200206,0.113492848,1.099907177,-0.000711159,1.102711055
